"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 13:46:55 CDT 2021","Mon Aug 23 13:46:57 CDT 2021","2371","","TEST Register Page","","TEST Register Page","TEST CASE 4","TEST CASE 4",""
"passed","Mon Aug 23 13:46:45 CDT 2021","Mon Aug 23 13:46:51 CDT 2021","6507","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Aug 23 13:46:57 CDT 2021","Mon Aug 23 13:47:00 CDT 2021","2270","","TEST Register Page","","TEST Register Page","TEST CASE 5","TEST CASE 5",""
"passed","Sun Aug 22 23:31:13 CDT 2021","Sun Aug 22 23:31:17 CDT 2021","3588","","TEST Register Page","","TEST Register Page","TEST CASE 2","TEST CASE 2",""
"passed","Sun Aug 22 23:31:09 CDT 2021","Sun Aug 22 23:31:13 CDT 2021","4678","","TEST Register Page","","TEST Register Page","Register a new account","Register a new account",""
"passed","Sun Aug 22 23:31:22 CDT 2021","Sun Aug 22 23:31:24 CDT 2021","2553","","TEST Register Page","","TEST Register Page","TEST CASE 5","TEST CASE 5",""
"passed","Mon Aug 23 13:46:51 CDT 2021","Mon Aug 23 13:46:54 CDT 2021","2555","","TEST CASE 2","","TEST CASE 2","should login with valid credentials","should login with valid credentials",""
"broken","Mon Aug 23 13:46:44 CDT 2021","Mon Aug 23 13:46:44 CDT 2021","12","","Test API","","Test API","APi Test 1","APi Test 1",""
"passed","Sun Aug 22 23:31:17 CDT 2021","Sun Aug 22 23:31:19 CDT 2021","2412","","TEST Register Page","","TEST Register Page","TEST CASE 3","TEST CASE 3",""
"passed","Mon Aug 23 13:46:51 CDT 2021","Mon Aug 23 13:46:55 CDT 2021","3420","","TEST Register Page","","TEST Register Page","TEST CASE 3","TEST CASE 3",""
"passed","Sun Aug 22 23:31:09 CDT 2021","Sun Aug 22 23:31:14 CDT 2021","5596","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Aug 23 13:46:49 CDT 2021","Mon Aug 23 13:46:51 CDT 2021","2540","","TEST Register Page","","TEST Register Page","TEST CASE 2","TEST CASE 2",""
"passed","Mon Aug 23 13:46:45 CDT 2021","Mon Aug 23 13:46:49 CDT 2021","4337","","TEST Register Page","","TEST Register Page","Register a new account","Register a new account",""
"passed","Mon Aug 23 13:47:00 CDT 2021","Mon Aug 23 13:47:02 CDT 2021","2196","","TEST Register Page","","TEST Register Page","THIS TEST SHOULD FAIL","THIS TEST SHOULD FAIL",""
"passed","Sun Aug 22 23:31:19 CDT 2021","Sun Aug 22 23:31:22 CDT 2021","2484","","TEST Register Page","","TEST Register Page","TEST CASE 4","TEST CASE 4",""
"passed","Sun Aug 22 23:31:24 CDT 2021","Sun Aug 22 23:31:27 CDT 2021","2377","","TEST Register Page","","TEST Register Page","THIS TEST SHOULD FAIL","THIS TEST SHOULD FAIL",""
"passed","Sun Aug 22 23:31:14 CDT 2021","Sun Aug 22 23:31:17 CDT 2021","2262","","TEST CASE 2","","TEST CASE 2","should login with valid credentials","should login with valid credentials",""
